sigma,tlow,thigh,width,height,mp,time,fps,psnr
0.60, 0.20, 0.90, 850, 100, 2, 0.213700, 4.679457, 4.96
0.60, 0.20, 0.90, 850, 550, 0, 0.728155, 1.373334, 4.93
0.60, 0.20, 0.90, 850, 550, 1, 0.512678, 1.950542, 4.93
0.60, 0.20, 0.90, 850, 550, 2, 0.526748, 1.898441, 4.93
0.60, 0.20, 0.90, 850, 1000, 0, 1.201826, 0.832067, 4.88
0.60, 0.20, 0.90, 850, 1000, 1, 0.777814, 1.285654, 4.88
0.60, 0.20, 0.90, 850, 1000, 2, 0.823702, 1.214031, 4.88
0.60, 0.20, 0.90, 1300, 100, 0, 0.334978, 2.985271, 4.88
0.60, 0.20, 0.90, 1300, 100, 1, 0.262837, 3.804639, 4.88
0.60, 0.20, 0.90, 1300, 100, 2, 0.277062, 3.609300, 4.88
0.60, 0.20, 0.90, 1300, 550, 0, 1.038785, 0.962663, 4.90
0.60, 0.20, 0.90, 1300, 550, 1, 0.705605, 1.417224, 4.89
0.60, 0.20, 0.90, 1300, 550, 2, 0.709911, 1.408627, 4.90
0.60, 0.20, 0.90, 1300, 1000, 0, 1.755061, 0.569781, 4.88
0.60, 0.20, 0.90, 1300, 1000, 1, 1.112625, 0.898775, 4.88
0.60, 0.20, 0.90, 1300, 1000, 2, 1.172713, 0.852724, 4.88
0.60, 0.35, 0.60, 400, 100, 0, 0.202053, 4.949196, 5.07
0.60, 0.35, 0.60, 400, 100, 1, 0.200171, 4.995729, 5.07
0.60, 0.35, 0.60, 400, 100, 2, 0.208026, 4.807091, 5.07
0.60, 0.35, 0.60, 400, 550, 0, 0.437377, 2.286357, 4.98
0.60, 0.35, 0.60, 400, 550, 1, 0.343743, 2.909150, 4.98
0.60, 0.35, 0.60, 400, 550, 2, 0.343033, 2.915171, 4.98
0.60, 0.35, 0.60, 400, 1000, 0, 0.655105, 1.526473, 4.94
0.60, 0.35, 0.60, 400, 1000, 1, 0.473970, 2.109838, 4.94
0.60, 0.35, 0.60, 400, 1000, 2, 0.491200, 2.035831, 4.94
0.60, 0.35, 0.60, 850, 100, 0, 0.280189, 3.569019, 5.03
0.60, 0.35, 0.60, 850, 100, 1, 0.219113, 4.563855, 5.03
0.60, 0.35, 0.60, 850, 100, 2, 0.246203, 4.061689, 5.03
0.60, 0.35, 0.60, 850, 550, 0, 0.763203, 1.310267, 4.94
0.60, 0.35, 0.60, 850, 550, 1, 0.532951, 1.876345, 4.94
0.60, 0.35, 0.60, 850, 550, 2, 0.544636, 1.836089, 4.94
0.60, 0.35, 0.60, 850, 1000, 0, 1.245927, 0.802615, 4.89
0.60, 0.35, 0.60, 850, 1000, 1, 0.828085, 1.207605, 4.89
0.60, 0.35, 0.60, 850, 1000, 2, 0.845712, 1.182436, 4.89
0.60, 0.35, 0.60, 1300, 100, 0, 0.340964, 2.932861, 5.02
0.60, 0.35, 0.60, 1300, 100, 1, 0.262968, 3.802744, 5.02
0.60, 0.35, 0.60, 1300, 100, 2, 0.280521, 3.564796, 5.02
0.60, 0.35, 0.60, 1300, 550, 0, 1.052839, 0.949813, 4.92
0.60, 0.35, 0.60, 1300, 550, 1, 0.725031, 1.379251, 4.92
0.60, 0.35, 0.60, 1300, 550, 2, 0.732669, 1.364873, 4.92
0.60, 0.35, 0.60, 1300, 1000, 0, 1.797404, 0.556358, 4.88
0.60, 0.35, 0.60, 1300, 1000, 1, 1.149374, 0.870039, 4.88
0.60, 0.35, 0.60, 1300, 1000, 2, 1.177150, 0.849509, 4.88
0.60, 0.35, 0.75, 400, 100, 0, 0.206305, 4.847192, 5.03
0.60, 0.35, 0.75, 400, 100, 1, 0.190013, 5.262798, 5.03
0.60, 0.35, 0.75, 400, 100, 2, 0.186195, 5.370713, 5.03
0.60, 0.35, 0.75, 400, 550, 0, 0.451823, 2.213256, 4.99
0.60, 0.35, 0.75, 400, 550, 1, 0.325118, 3.075806, 4.98
0.60, 0.35, 0.75, 400, 550, 2, 0.343634, 2.910073, 4.99
0.60, 0.35, 0.75, 400, 1000, 0, 0.644631, 1.551275, 4.95
0.60, 0.35, 0.75, 400, 1000, 1, 0.471790, 2.119587, 4.95
0.60, 0.35, 0.75, 400, 1000, 2, 0.483755, 2.067162, 4.95
0.60, 0.35, 0.75, 850, 100, 0, 0.275917, 3.624278, 5.00
0.60, 0.35, 0.75, 850, 100, 1, 0.234247, 4.268998, 5.00
0.60, 0.35, 0.75, 850, 100, 2, 0.237931, 4.202899, 5.00
0.60, 0.35, 0.75, 850, 550, 0, 0.721100, 1.386770, 4.94
0.60, 0.35, 0.75, 850, 550, 1, 0.522096, 1.915357, 4.94
0.60, 0.35, 0.75, 850, 550, 2, 0.526374, 1.899790, 4.94
0.60, 0.35, 0.75, 850, 1000, 0, 1.221510, 0.818659, 4.90
0.60, 0.35, 0.75, 850, 1000, 1, 0.791524, 1.263386, 4.90
0.60, 0.35, 0.75, 850, 1000, 2, 0.834988, 1.197622, 4.90
0.60, 0.35, 0.75, 1300, 100, 0, 0.340121, 2.940130, 4.98
0.60, 0.35, 0.75, 1300, 100, 1, 0.279165, 3.582111, 4.98
0.60, 0.35, 0.75, 1300, 100, 2, 0.254314, 3.932147, 4.98
0.60, 0.35, 0.75, 1300, 550, 0, 1.038555, 0.962876, 4.92
0.60, 0.35, 0.75, 1300, 550, 1, 0.687009, 1.455585, 4.92
0.60, 0.35, 0.75, 1300, 550, 2, 0.726684, 1.376114, 4.92
0.60, 0.35, 0.75, 1300, 1000, 0, 1.783473, 0.560704, 4.89
0.60, 0.35, 0.75, 1300, 1000, 1, 1.134258, 0.881634, 4.89
0.60, 0.35, 0.75, 1300, 1000, 2, 1.202242, 0.831779, 4.89
0.60, 0.35, 0.90, 400, 100, 0, 0.213356, 4.687002, 4.96
0.60, 0.35, 0.90, 400, 100, 1, 0.197186, 5.071354, 4.96
0.60, 0.35, 0.90, 400, 100, 2, 0.185537, 5.389761, 4.96
0.60, 0.35, 0.90, 400, 550, 0, 0.442179, 2.261528, 4.94
0.60, 0.35, 0.90, 400, 550, 1, 0.316798, 3.156586, 4.93
0.60, 0.35, 0.90, 400, 550, 2, 0.338240, 2.956481, 4.94
0.60, 0.35, 0.90, 400, 1000, 0, 0.647973, 1.543274, 4.89
0.60, 0.35, 0.90, 400, 1000, 1, 0.459419, 2.176662, 4.89
0.60, 0.35, 0.90, 400, 1000, 2, 0.458133, 2.182772, 4.89
0.60, 0.35, 0.90, 850, 100, 0, 0.275929, 3.624121, 4.90
0.60, 0.35, 0.90, 850, 100, 1, 0.233780, 4.277526, 4.90
0.60, 0.35, 0.90, 850, 100, 2, 0.237913, 4.203217, 4.90
0.60, 0.35, 0.90, 850, 550, 0, 0.719733, 1.389404, 4.90
0.60, 0.35, 0.90, 850, 550, 1, 0.511378, 1.955501, 4.90
0.60, 0.35, 0.90, 850, 550, 2, 0.506982, 1.972457, 4.90
0.60, 0.35, 0.90, 850, 1000, 0, 1.208994, 0.827134, 4.86
0.60, 0.35, 0.90, 850, 1000, 1, 0.775812, 1.288972, 4.86
0.60, 0.35, 0.90, 850, 1000, 2, 0.803503, 1.244550, 4.86
0.60, 0.35, 0.90, 1300, 100, 0, 0.337366, 2.964140, 4.88
0.60, 0.35, 0.90, 1300, 100, 1, 0.264463, 3.781247, 4.88
0.60, 0.35, 0.90, 1300, 100, 2, 0.269029, 3.717071, 4.88
0.60, 0.35, 0.90, 1300, 550, 0, 1.001252, 0.998750, 4.87
0.60, 0.35, 0.90, 1300, 550, 1, 0.668531, 1.495817, 4.86
0.60, 0.35, 0.90, 1300, 550, 2, 0.686065, 1.457588, 4.87
0.60, 0.35, 0.90, 1300, 1000, 0, 1.717160, 0.582357, 4.84
0.60, 0.35, 0.90, 1300, 1000, 1, 1.072354, 0.932528, 4.84
0.60, 0.35, 0.90, 1300, 1000, 2, 1.095374, 0.912930, 4.84
0.60, 0.50, 0.60, 400, 100, 0, 0.217991, 4.587345, 5.06
0.60, 0.50, 0.60, 400, 100, 1, 0.196924, 5.078101, 5.06
0.60, 0.50, 0.60, 400, 100, 2, 0.188205, 5.313355, 5.06
0.60, 0.50, 0.60, 400, 550, 0, 0.429472, 2.328441, 4.99
0.60, 0.50, 0.60, 400, 550, 1, 0.341990, 2.924062, 4.99
0.60, 0.50, 0.60, 400, 550, 2, 0.340195, 2.939491, 4.99
0.60, 0.50, 0.60, 400, 1000, 0, 0.651307, 1.535374, 4.95
0.60, 0.50, 0.60, 400, 1000, 1, 0.458815, 2.179528, 4.95
0.60, 0.50, 0.60, 400, 1000, 2, 0.472104, 2.118177, 4.95
0.60, 0.50, 0.60, 850, 100, 0, 0.273605, 3.654904, 5.03
0.60, 0.50, 0.60, 850, 100, 1, 0.222573, 4.492908, 5.03
0.60, 0.50, 0.60, 850, 100, 2, 0.231633, 4.317174, 5.03
0.60, 0.50, 0.60, 850, 550, 0, 0.739660, 1.351973, 4.95
0.60, 0.50, 0.60, 850, 550, 1, 0.501629, 1.993505, 4.94
