sigma,tlow,thigh,width,height,mp,time,fps,psnr
0.60, 0.20, 0.90, 850, 100, 0, 3.339809, 8.982550, 3.74
0.60, 0.20, 0.90, 850, 100, 1, 2.214854, 13.544911, 3.73
0.60, 0.20, 0.90, 850, 100, 2, 2.257009, 13.291928, 3.74
0.60, 0.20, 0.90, 850, 550, 0, 16.771389, 1.788761, 3.67
0.60, 0.20, 0.90, 850, 550, 1, 10.403598, 2.883618, 3.66
0.60, 0.20, 0.90, 850, 550, 2, 11.013508, 2.723928, 3.67
0.60, 0.20, 0.90, 850, 1000, 0, 30.201044, 0.993343, 3.65
0.60, 0.20, 0.90, 850, 1000, 1, 18.816983, 1.594304, 3.65
0.60, 0.20, 0.90, 850, 1000, 2, 19.693861, 1.523317, 3.65
0.60, 0.20, 0.90, 1300, 100, 0, 4.818815, 6.225597, 3.74
0.60, 0.20, 0.90, 1300, 100, 1, 3.072844, 9.762943, 3.74
0.60, 0.20, 0.90, 1300, 100, 2, 3.144079, 9.541745, 3.74
0.60, 0.20, 0.90, 1300, 550, 0, 25.591562, 1.172261, 3.66
0.60, 0.20, 0.90, 1300, 550, 1, 15.707601, 1.909903, 3.65
0.60, 0.20, 0.90, 1300, 550, 2, 16.586807, 1.808666, 3.66
0.60, 0.20, 0.90, 1300, 1000, 0, 45.938666, 0.653045, 3.64
0.60, 0.20, 0.90, 1300, 1000, 1, 27.901941, 1.075194, 3.64
0.60, 0.20, 0.90, 1300, 1000, 2, 30.021859, 0.999272, 3.64
0.60, 0.35, 0.60, 400, 100, 0, 1.834730, 16.351180, 3.95
0.60, 0.35, 0.60, 400, 100, 1, 1.271091, 23.601772, 3.95
0.60, 0.35, 0.60, 400, 100, 2, 1.386603, 21.635609, 3.95
0.60, 0.35, 0.60, 400, 550, 0, 8.017329, 3.741895, 3.80
0.60, 0.35, 0.60, 400, 550, 1, 5.083088, 5.901924, 3.79
